sentence1,sentence2,label,pred,abs_error,category
A smiling Caucasian male wearing a blue and black striped shirt it about to take a photograph.,A man in a white shirt and black pants is smiling.,1.6,3.1867724657058716,1.5867724657058715,other
A little girl and boy are reading books.,An older child is playing with a doll while gazing out the window.,0.2,1.2069907784461975,1.0069907784461976,low_overlap
Men are fighting after a basketball game.,The men are playing a game of basketball.,2.2,3.7140369415283203,1.5140369415283201,other
They are preparing for a performance at school.,Two medical professionals in green look on at something.,0.0,1.001371219754219,1.001371219754219,low_overlap
Black and white image of a wave crashing in the ocean.,a small black dog in the ocean with some rocks in the background,0.6,2.13889017701149,1.5388901770114898,other
A boy does a skateboard trick on the stairs downtown.,a boy is running on the sidewalk,0.6,2.081148624420166,1.481148624420166,other
A man is throwing a penny into a fountain.,A little boy is throwing a man in water.,0.6,2.2539320588111877,1.6539320588111877,other
Friends walk into a building,a man walks along walkway to the store,0.4,1.4351734519004822,1.0351734519004823,low_overlap
A girl in water without goggles or a swimming cap.,"A girl in water, with goggles and swimming cap.",3.0,4.074726700782776,1.0747267007827759,other
The child is the woman's kid.,There is a boy and a girl.,0.8,2.12405264377594,1.32405264377594,low_overlap
Two boys in black swimming trunks are holding another boy by his arms and legs on a beach.,Man in white shirt flipping young boy in the water with four other boys surrounding them.,1.4,2.4946171045303345,1.0946171045303346,negation_mismatch
The gate is blue.,The gate is yellow.,1.6,3.3683323860168457,1.7683323860168456,other
A dog walks along a beach with breaking waves.,A boy with an oar walks out of the surf and onto a beach.,1.0,2.019854485988617,1.019854485988617,other
"Apart from admission (which normally should not be related to age), there is something that's related to your question.","Age is not a PhD admission facor in the continental Europe, too.",1.0,2.789977192878723,1.7899771928787231,other
"If you don't want to pay for Adobe Acrobat Pro, as @schultem mentions, LaTeX can do this with embedded hyperlinks.","If you don't mind hosting your files online, SlideShare is a good solution.",0.8,1.8091320991516113,1.0091320991516113,other
I don't think there are likely to be any standards that address this issue specifically.,"You're going to find answers all over the map for this one (i.e., there probably aren't ""standards"").",2.4,3.5079601407051086,1.1079601407051087,other
My answer would be depending on which GRE are you referring to?,The problem I see with the GREs is that the scoring range is highly compressed.,1.0,2.866833508014679,1.866833508014679,low_overlap
"If you have access to it, you can very easily do that with Thomson Reuters’ Web of Science portal.","You can have a look at the arXiv cultoromics website at http://arxiv.culturomics.org, which however searches in articles on the arXiv.",0.2,1.4318151772022247,1.2318151772022248,other
In general there are a number of different distinct workflows that lead to a poster.,"For completeness, Apple's Pages has quite a few nice poster layouts.",0.6,2.2404341399669647,1.6404341399669646,low_overlap
It is perfectly okay to ask for the figure knowing well that the other person may not give.,"You can always ask, then it is the choice of the author to accept or not.",3.6,2.423933744430542,1.176066255569458,other
"I agree with Seteropere completely, ""Network Science"" is a very broad subject.",I would say you are approaching it in the wrong way.,0.0,1.1107394099235535,1.1107394099235535,low_overlap
It indeed appears the Andromeda galaxy (M31) and The Milky Way (MW) are en route to a collision.,"In a few billion years, the Milky Way and Andromeda will collide.",4.4,3.144018054008484,1.2559819459915165,other
According to this website the peak visible magnitude will be about 10.5 around February 2nd.,"The AAVSO data seems to indicate that it might have already peaked, at around 10.5 (visual).",3.6,2.5436627864837646,1.0563372135162354,other
All of these effects are related to the 11 year solar cycle.,I will be specific to answering the part regarding the prediction of solar flares.,0.8,2.1929067373275757,1.3929067373275756,other
Let us assume the data for a globular cluster to be equivalent to that of M13.,Globular clusters occupy an interesting place in the spectrum of composite stellar systems.,1.6,2.907480001449585,1.3074800014495849,other
A method used to calculate the distance between stars is 3 Dimensional trigonometry.,You only need two-dimensional trigonometry if you know the distances to the two stars and their angular separation.,2.0,3.731503486633301,1.7315034866333008,other
"Stars form in star-formation regions, which itself develop from molecular clouds.",It may be possible for a solar system like ours to exist outside of a galaxy.,0.6,1.6035954654216766,1.0035954654216765,low_overlap
Here is a lexical decision task I wrote years ago using PHP and Javascript (github link).,"Just for reference, I ended up writing simple web-based lexical decision task software myself.",2.6,3.8866376876831055,1.2866376876831054,other
I've found an additional concept that may be related to the original question: prototype theory.,"According to current models of human concept learning, the answer to your question is both.",0.0,1.72536700963974,1.72536700963974,other
"In addition to oil, make sure the grill is nice and hot before you start cooking.","I'd been using paper towels to oil the grill, and I just discovered that newspapers work a lot better.",1.6,2.973790764808655,1.3737907648086547,other
"Break the bulb into cloves, breaking off the bottom and the dry stick that goes up the middle.",lay down a knife horizontaly on the cloves and hit it.,1.6,2.67364501953125,1.07364501953125,low_overlap
I  believe one cannot taste the difference between minced(canned) and fresh garlic once it is cooked.,"In my experience, fresh garlic is great for when you want texture, or to slow down the flavour infusion.",1.8,3.2727468013763428,1.4727468013763427,negation_mismatch
"The recipe I work from has you put the meat in the freezer, then pan sear it.","Starting with a whole chilled piece of meat, I quickly pour boiling water over all the outside surface.",1.4,2.7930712699890137,1.3930712699890138,low_overlap
"They don't taste identical at all, and even more important, they don't smell the same.",Black pepper and white pepper are differing preparations of the fruit of the Piper nigrum plant.,2.6,1.1806394159793854,1.4193605840206147,low_overlap
This depends on the shelf life of the cultivar of tomato you purchased.,"Tomatoes will last longer if kept in the fridge, but I actually recommend against keeping them there.",2.0,3.2238933444023132,1.2238933444023132,low_overlap
"Copper can be useful for certain tasks due to the its metallic properties (heats quickly, distributes heat evenly, etc.","Probably subjective, but ... Good clad stainless steel will give you much better cooking performance per dollar than copper.",1.4,3.032342791557312,1.632342791557312,low_overlap
"She obviously has a legit excuse, although she could have been more responsible and ""have"" told you in advance.",The first have covers both been more responsible and told you in that sentence.,0.4,1.7345337569713593,1.3345337569713593,other
In some cases the implication could even be that Tom does not love her.,There is no implication about Tom whatsoever in such a sentence.,1.8,3.7791454792022705,1.9791454792022705,negation_mismatch
"I see some references to status as uncountable as well, but that doesn't make much sense to me.","There are some cases ""status"" may be accounted of countable.",2.6,3.9104074239730835,1.3104074239730834,low_overlap
"In standard English, I think ""don't got"" has the same register as ""ain't"".",I'd say the expression I don't got... is generally rare in spoken AmE.,2.2,3.4654659032821655,1.2654659032821653,other
There are a lot of push up variations you can do and they all stress different muscle systems.,There are several different pushup variations out there and most of them provide a unique advantage.,4.2,3.1396907567977905,1.0603092432022097,other
You definitely do NOT want to be supporting your weight with your arms on the bike for normal riding.,"No, don't support your weight on your arms Your hands simply aren't really made for supporting all that weight.",4.2,3.1602752208709717,1.0397247791290285,negation_mismatch
"Yes, you should stretch before running, but not the sit down and reach kind of stretching.",Neuromuscular Activation and Dynamic Stretching Here is an excellent video on a dynamic stretching routine for running.,1.8,3.0002638697624207,1.2002638697624206,negation_mismatch
"I feel your pain - I absolutely pour with sweat with any vigorous exercise, even in cool conditions.","Sweat rate is sweat rate, you can't really control it.",1.0,2.5680792331695557,1.5680792331695557,low_overlap
Pick them as soon as they are as ripe as you want them.,I live in Delaware and have already harvested my jalapeno and chili peppers.,0.6,1.78874671459198,1.18874671459198,negation_mismatch
"Simple answer is yes, flower shoots on lettuce is a sure sign of bolting.",It appears as though it has likely started to bolt.,3.2,2.1772053837776184,1.0227946162223818,low_overlap
This looks a lot like an invitation to a No True Scottsman argument.,"I concur with @T.E.D; the question is a ""no True Scotsman"" bar bet.",3.8,1.9712650775909424,1.8287349224090574,low_overlap
Some villages had histories and thus names going back to Ancient Roman times.,"Many towns and villages took their name from the ruling family, the owners of the village.",1.2,2.941117286682129,1.741117286682129,low_overlap
Nearly all countries grew quickly in the 1950s and 1960s for pretty much the same reasons.,The USSR growth rate during the 50's was not exceptionally high.,1.0,2.1405217051506042,1.1405217051506042,negation_mismatch
To no extent at all is the wars in the middle east caused by trade making the area heterogeneous.,"They had a treaty beginning in 1941, after a few skirmishes along the area in question.",0.6,1.6979052126407623,1.0979052126407622,negation_mismatch
"By the time that Qin had totally collapsed, Xiang Yu was China's hegemon.","The Han Dynasty came after the Qin Dyansty, after the government under Shi Huang Di collapsed.",2.0,3.266964852809906,1.266964852809906,low_overlap
http://en.wikipedia.org/wiki/History_of_Delhi#Early_history shows that the city was called Delhi (or Dilli) at least since the 12/13th century.,"I am not exactly sure but I remember the media (in India) addressing Delhi as ""HASTHINA"".",1.2,2.461230158805847,1.2612301588058472,negation_mismatch
"Yes, this is true and yes, in most cases indefinite articles indeed developed from numerals, as @MGN already said.","Indefinite articles developed from numerals, and the definite articles developed from demonstratives.",2.6,3.6814874410629272,1.0814874410629272,other
In some nowadays Indo-European languages you can still see rests of base-20 numeral systems.,"Modern Englishes, and many other well-known languages, use base 10 (ie decimal) systems of numerals.",2.2,3.2339736819267273,1.0339736819267271,low_overlap
"In English, certainly the most common use of do is Do-Support.","In traditional grammar, the word doing is a participle in all your examples.",0.6,2.703232169151306,2.103232169151306,other
A part of the question thusfar unattended is whether the concept of phoneme has always been contentious.,"""Phoneme"" is a theoretical construct which probably can't go away.",1.6,2.928442358970642,1.328442358970642,low_overlap
"If you arecomming from the non-linguistics environment, the best book is to start with Is Fromkin, Introduction to language.",This is what they recommend at Oxford as introductory textbooks to students starting a Masters' in Linguistics.,1.4,3.3064958453178406,1.9064958453178407,negation_mismatch
From what I'm seeing it's generally accepted that most English speakers have a vocabulary size of 15000 to 20000 words.,According to a statistical estimation I know roughly 7000 words in English.,1.4,3.6696991324424744,2.2696991324424745,negation_mismatch
A few points to add here: Coyotes are not know to be aggressive towards humans.,In general they are not considered dangerous because they rarely attack humans.,3.2,1.6072158515453339,1.5927841484546663,other
An embolism in a medical context refers to any large moving mass or defect in the blood stream.,Here is an interesting article on wikipedia to give overview of pressure related injuries.,0.0,1.1478053033351898,1.1478053033351898,low_overlap
It would be unusual for a snake to attack a stationary person.,"I'm no herpetologist, but in my experience, snakes are in the ""you don't bug me, I won't bug you"" category.",4.2,2.7733981609344482,1.426601839065552,negation_mismatch
"If you wear a bear bell on your backpack, your fellow hikers will kill you for being annoying.","The above advice is quite good, just wanted to add on thing to consider regarding food in bear country.",0.6,1.7281317710876465,1.1281317710876464,negation_mismatch
He is taking the diaper off because he is uncomfortable.,You can try putting the diaper on backwards which may only work for a little while.,1.8,3.027166724205017,1.227166724205017,low_overlap
I know of no firm evidence indicating that baby talk is either helpful or detrimental in language development.,"Baby talk, when used correctly is beneficial to speech development.",2.0,3.8738614320755005,1.8738614320755005,negation_mismatch
I have never read anything that said teethers were bad--where did you read that?,We used a clean cloth or baby sock wrapped around an ice cube with our kids and grandkids.,1.4,0.32055623829364777,1.0794437617063521,negation_mismatch
My son didn't become potty trained until about his 4th birthday.,Here are some things that worked with my son who started toilet training around 2.5 years.,1.6,3.2636070251464844,1.6636070251464843,low_overlap
"Show her how much fun splashing is - that's what we did, and made a game of it.",You can put her toys near her or give he toys to her.,0.8,1.8418850004673004,1.0418850004673004,low_overlap
"It is possible, but it will have to be a docile female betta and a bigish tank.",We tried putting a male betta in a community tank once.,2.4,3.4082093834877014,1.0082093834877015,low_overlap
How could be you so sure that the fish died a natural death.,"In my 200 L fresh water tank, which is an aggressive tank, fish occasionally get harassed to death.",1.4,2.511085867881775,1.111085867881775,low_overlap
"First, double-check the dog's body language to make sure that it is truly aggressive.","First, you should realize that this is not you or your dog's problem.",1.6,2.897922396659851,1.297922396659851,negation_mismatch
My guess is that means your cat only marginally likes the food you're feeding him.,Some researchers believe domestic cats never really mentally grow up completely and they always look at you like their mom.,0.6,1.7331358790397644,1.1331358790397643,negation_mismatch
Try switching to rats; weanling rats if you need something smaller.,"As mentioned in previous answers, rats and gerbils can be offered instead of mice or in a rotation with mice.",3.4,2.1315518021583557,1.2684481978416442,low_overlap
The biggest reason I can think of is that you're taking away a defence mechanism for the cat.,"Cats don't usually like to have their paws held, touched, or anything like that.",1.6,2.63387531042099,1.03387531042099,low_overlap
"The difference between ""necessary"" and ""sufficient"" is the direction of the logical arrow.","sufficient is an upper bound, necessary is a lower bound.",2.0,3.618384003639221,1.6183840036392212,low_overlap
The Question is (from Hinduism); do you exist because of pregnancy?,The least that can be said is that we must be born with the ability and 'knowledge' to learn.,1.8,0.6156544759869576,1.1843455240130425,negation_mismatch
Not all negative claims can be validly reformulated into positive claims.,I don't think the burden of proof is on positive or negative versions.,1.0,3.0668270587921143,2.0668270587921143,negation_mismatch
"As I understand it, nothing that can be changed, or broken down into smaller parts is inherently real.",Our interactions are merely depends on where we put our perception.,0.4,1.483575850725174,1.083575850725174,negation_mismatch
Fast Picture Viewer has an extensive pack for the low price of $9.99 and it appears to cover them all.,Fast Picture Viewer is $9.99 and works just fine on 64-bit Windows 7 (I'm using it myself).,3.8,1.7471013963222504,2.0528986036777495,other
I have found there is no single best way to increase size.,There are a very wide variety of solutions for resizing and sharpening images for use on the web.,2.6,1.542254388332367,1.0577456116676331,negation_mismatch
A class 6 card in theory should be more than enough bandwidth for HD (1080) video for the 550D (48 MBit).,"Some cards are too slow to accept an HD stream, so you need one that is fast enough.",1.6,2.745680809020996,1.145680809020996,long_sentence
According to Shia Muslims specially Iran state and Hezbollah a country called Israel does not exist.,"As with the definition of Palestine, the definition of Israel varies depending on whom you ask.",3.2,2.171885222196579,1.0281147778034212,negation_mismatch
Eclipse Below are list of eclipse shortcuts which I use almost everyday.,"To train yourself to use keyboard shortcuts, unplug your mouse for a few days.",0.6,1.9310714304447174,1.3310714304447173,low_overlap
I'd start by reading David Allen's book: Getting Things Done.,I'm considering spending the $48 per month on the GTD (Getting things done) system advertised by David Allen.,3.0,1.1011897027492523,1.8988102972507477,other
"Currently I've got a fairly close to purely digital GTD setup, although this could do with some refinements and tweaks.",My GTD system is effectively 100 percent electronic--as described in detail here.,3.4,2.3289307951927185,1.0710692048072814,low_overlap
I voted for the dyson sphere as being the biggest realistic.,"Allen Steele's book Hex describes a Dyson sphere, but made of hexagons, 1000 miles (K?",0.4,1.8848028779029846,1.4848028779029847,low_overlap
This idea has been around since the beginning of myth and storytelling.,The science behind superheroes might shed some light on this topic.,0.2,1.415133774280548,1.2151337742805481,low_overlap
"We only used Fartlek as a fitness measurement, and as a bit of fun.",Fartlek is not more effective than any proper interval training - just more fun!,2.6,3.6856430768966675,1.0856430768966674,negation_mismatch
If the number of fours hit by two teams are also equal then both teams will get 1 point each.,This is the rule if the runs scored by two teams in Super Over is equal...,0.6,2.427220046520233,1.827220046520233,other
"No, there is no specific criteria for giving the man of the match award.","As per the rules, MoM award is decide by the commentry pannel.",3.0,1.7383575439453125,1.2616424560546875,negation_mismatch
"Glad to hear you've started playing hockey, its a great sport!",A general rule of thumb is every 5-6 hours of skating.,0.4,1.4774905145168304,1.0774905145168305,low_overlap
"I'd suggest you find a bank in your local country, and consider opening a Euro denominated bank account with them.",I am not sure if you can open a bank account in France if you are not a resident.,1.6,2.697764039039612,1.0977640390396117,negation_mismatch
My experience is that a normal taxi is always cheaper.,When using a regular taxi make sure it's with a reputable company or you agree upon the rate upfront.,2.0,3.2098808884620667,1.2098808884620667,negation_mismatch
I had a similar issue but in what seemed to be a simpler situation.,I'm actually about to do the same thing when transferring at London Heathrow.,0.0,1.2795087695121765,1.2795087695121765,low_overlap
"Kyoto, at least does, as described here: JR Kyoto Station.",Coin lockers are a feature of most stations in Japan.,0.4,1.8334347009658813,1.4334347009658814,low_overlap
"Generally, almost wherever I go, I find it's easiest to get money out of the ATM.","There are plenty of ATMs and Exchanges all around the city, especially in city center.",1.8,2.827603816986084,1.027603816986084,low_overlap
I think the dual goals have a lot to do with the purpose of the antagonist.,I think it's going to depend on what the reasons are.,2.6,1.1380402743816376,1.4619597256183625,other
"Yes, this is OK, as it allows you to emphasise certain things, that you want the readers to notice.",I believe this is perfectly acceptable and does a good job of emphasising your point.,4.0,2.962307929992676,1.0376920700073242,negation_mismatch
David Weber's The War God's Own has some lengthy travel scenes in it which he does quite well.,One thing that should be used as a seasoning in Odyssey tales is the idea of the false destination.,0.2,1.2529754638671875,1.0529754638671875,low_overlap
"One thing you seem to be forgetting regarding myths, is they are extremely prevalent stories.","I noticed you said ""movie critics"" enjoy mythological references in a film, but do audiences?",1.2,2.271728068590164,1.0717280685901642,negation_mismatch
Webster's New World Rhyming Dictionary: Clement Wood's Updated This is the rhyming dictionary I turn to first.,"http://www.rhymezone.com/ You just type in a word, then select one of the following.",1.2,2.4499288201332092,1.2499288201332093,low_overlap
"RT Jones analyst Juli Niemann said Grant was ""the one we were all pulling for.","He has a very good reputation,"" RT Jones analyst Juli Niemann said of Grant.",1.4,2.9407358169555664,1.5407358169555665,other
Executive recruiters say that finding a seasoned chief merchandising officer will perhaps be the trickiest of all hires because there is such a dearth of good ones.,Executive recruiters say that finding a seasoned chief merchandising officer perhaps will be the trickiest of all hires.,3.75,4.802921414375305,1.0529214143753052,long_sentence
"The technology-laced Nasdaq Composite Index <.IXIC> jumped 26 points, or 1.78 percent, to 1,516.","The broad Standard & Poor's 500 Index .SPX was up 8.79 points, or 0.96 percent, at 929.06.",0.8,-0.3979427367448807,1.1979427367448807,negation_mismatch
"""I started crying and yelling at him, 'What do you mean, what are you saying, why did you lie to me?'""","Gulping for air, I started crying and yelling at him, 'What do you mean?",3.8,2.453012615442276,1.3469873845577238,long_sentence
The company claims it's the largest single Apple VAR Xserve sale to date.,The company claimed it is the largest sale of Xserves by an Apple retailer.,5.0,3.866305947303772,1.133694052696228,other
North American markets finished mixed in directionless trading Monday as earnings season begins to slow and economic indicators move into the spotlight.,"North American markets grabbed early gains Monday morning, as earnings season begins to slow and economic indicators take the spotlight.",3.8,2.6956000924110413,1.1043999075889586,long_sentence
"After 9/11, Connolly said, agents spent thousands of hours investigating al-Bayoumi.",Connolly said FBI agents in San Diego and abroad spent thousands of hours investigating al-Bayoumi.,3.0,4.257189631462097,1.2571896314620972,other
PG&E Corp. shares were up 39 cents or 2.6 percent at $15.59 on the New York Stock Exchange on Tuesday.,PG&E's shares gained 24 cents to $15.44 during Tuesday's trading on the New York Stock Exchange.,2.2,3.9237844944000244,1.7237844944000242,other
YES filed suit yesterday in the Supreme Court of New York County in Manhattan.,The suit was filed in the Supreme Court of New York County.,3.0,4.213460087776184,1.213460087776184,other
"Deaths in rollover crashes accounted for 82 percent of the number of traffic deaths in 2002, the agency says.","Fatalities in rollover crashes accounted for 82 percent of the increase in 2002, NHTSA said.",3.25,4.525706470012665,1.2757064700126648,other
"The pound also made progress against the dollar, reached fresh three-year highs at $1.6789.","The British pound flexed its muscle against the dollar, last up 1 percent at $1.6672.",3.25,1.718149185180664,1.531850814819336,other
Who will succeed Mr. O'Neill at Hyundai is not clear.,There is no clear successor for Mr. O'Neill at Hyundai.,5.0,3.6716532707214355,1.3283467292785645,negation_mismatch
"Lee Janzen, who was tied atop the leaderboard with five holes left, finished with a 68 and tied for sixth.","Lee Janzen, tied atop the leaderboard with five holes left, finished with a 68 to tie for sixth with Bob Crane (67) at 269.",3.25,4.419483542442322,1.1694835424423218,long_sentence
"The world's largest software company said it recognized the difficulty the multiple patches posed for companies, and set out to make it easier for them to apply the updates.",The world's largest software company said it recognized the difficulty the multiple patches posed for companies trying to apply them.,3.5,4.719518423080444,1.2195184230804443,long_sentence
"The broad Standard & Poor's 500 Index <.SPX> was up 8.79 points, or 0.96 percent, at 929.06.","The technology-laced Nasdaq Composite Index <.IXIC> jumped 26 points, or 1.78 percent, to 1,516.",1.0,-0.3601629287004471,1.360162928700447,negation_mismatch
"Agnew said Pinellas began baiting when rabies cases ""went from zero to 30"" in 1995.","Still, Pinellas rabies cases fell sharply to 17 in 1996 and 3 in 1997, Agnew said.",1.75,3.125992715358734,1.3759927153587341,other
"Marc Garber, Whitley's attorney, had a different view.","Whitley's attorney, Marc Garber, called the ruling ""a huge victory.""",1.75,3.707067370414734,1.9570673704147339,other
"Just five months ago, Dean committed to accepting taxpayer money and vowed to attack any Democrat who didnt.","Just five months ago, Dean committed to accepting taxpayer money and the spending limits that come with it and vowed to attack any Democrat who didnt.",3.6,4.792790412902832,1.192790412902832,long_sentence
The panel ordered the Commerce Department to issue revised figures for the duties within 60 days.,It called on the Commerce Department to respond within 60 days.,2.6,3.671312630176544,1.071312630176544,other
"Gold's rise pulled other precious metals higher, shunting silver to $4.81/83 an ounce from $4.77/79 last quoted in New York.","Gold's bounce pulled other precious metals higher, sending silver to $4.83/85 an ounce from $4.80/82 last quoted in New York.",3.25,4.271753430366516,1.0217534303665161,other
"Shares of LendingTree soared $5.99, or 40.1 percent, to $20.68 in afternoon trading on the Nasdaq Stock Market.","Shares of LendingTree rose $6.21, or 42 percent, to $20.90 after hitting $21.36 earlier.",2.2,3.7474429607391357,1.5474429607391356,negation_mismatch
